filename	text
16-16013-20.wav	ช่วงเช้าวันนี้ฮะทางศาลที่จังหวัดนนทบุรีนะครับ
16-16013-36.wav	คุณแม่ก็เดินทางมานี่มาแล้วคุณแม่นักข่าวเรียกเลยคุณแม่คุณแม่
16-16013-37.wav	คุณแม่นะฮะเดินทางมาที่ศาลพร้อมกับทนายความนะครับมาร่วมตรวจพยานด้วย
16-16013-428.wav	เพราะว่าผมจะพาคุณผู้ชมไปสะบัดกันที่วัดแห่งหนึ่งที่จังหวัดพิจิตรนี่
16-16013-535.wav	ก็เราให้สอดคล้องเมืองจังหวัดพิจิตรเรา
16-16013-539.wav	ถือเป็นการนำอัตลักษณ์ของจังหวัดมาออกแบบได้อย่างลงตัว
16-16013-541.wav	ถือเป็นอีกหนึ่งวัดที่ควรค่าแก่การเดินทางมาเที่ยว
16-16015-18.wav	นายเจริญครับก็คือนายลูกเอียดโพดำ
16-16015-9.wav	นายสราวุฒิโคกเขาหรือว่าโกลาว
16-16016-82.wav	ระวังไว้ด้วยใครที่จะออกไปท่องเที่ยวเดินทางนะครับในช่วงกลางสัปดาห์นี้
16-16020-16.wav	จากการสอบถามสอบปากคำนายปรีชาอายุ17ปี
16-16020-17.wav	ซึ่งเป็นน้องชายของนางสาวสิริรัตน์คนเจ็บ
16-16021-12.wav	คนมีไข้เอาเมื่อวานนี้นะคะมีการเดินทางกลับ
16-16021-18.wav	ซึ่งทีมข่าวของเราค่ะก็ไปตรวจสอบบรรยากาศการเดินทางกลับมานะคะ
16-16021-23.wav	ไปพูดคุยค่ะทีมข่าวได้มีโอกาสพูดคุยกับแรงงานที่เดินทางไปทำงานที่เกาหลีใต้
16-16021-2.wav	เป็นการพูดถึงคนที่เดินทางชาวไทยนะ
16-16021-36.wav	โดยยืนยันว่าตัวเขาเองเนี่ยเดินทางกลับมาแล้ว
16-16021-49.wav	ทยอยเดินทางกลับประเทศไทยและจากข้อมูลไม่ได้เพิ่งกลับมาด้วยนะคะ
16-16021-50.wav	คือก่อนหน้านี้มีรายงานว่าพอเริ่มมีการแพร่ระบาดเขาเดินทางกลับมาตั้งแต่เดือนมกราคมแล้ว
16-16021-62.wav	รัฐบาลเองตอนนี้ก็บอกว่าเดี๋ยวมีมาตรการแล้วแหละเดี๋ยวจะจัดการให้โดยเฉพาะใครที่เดินทางกลับภูมิลำเนา
16-16023-10.wav	มุมที่มวลมหาประชาชนเดินทางไป
