
ตลอด	ตะลอน
หงหยก	หงษ์หยก
สุคุณา	สุขุนา
สุมนรัฐ	สุมนรัตน์
พง	พงศ์
กระเหลี่ยง	กะเหรี่ยง
สุมนรัฐ	สุมนรัตน์
เฉลิมพงศ์	เฉลิมพงษ์
สุคุณา	สุขุนา
ศรีบรรพฤษ	ศรีบรรพต
พง	พงศ์
ลองฮะ	ชมฮะ
กะเหลี่ยง	กะเหรี่ยง
หกสิบหก	66
นายวิชิระแขทอง	นายวชิระ แขทอง
สิบเก้า	29
นายธนาวุฒิถาวรพราม	นายธนาวุฒิถาวร พราหมณ์
ห้า	5
นางสาวนิรนาศศรีพุทธา	นางสาวนิรนาท ศรีพุทธา
สิบ	10
นางระเวง	นางละเวง
ท่าแคร์	ท่าแค
โรงพยาบาลศิริกิจ	โรงพยาบาลสิริกิติ์
อภิษฎเวชาชีว	อภิสิทธิ์เวชชาชีวะ
แบงค์	แบงก์
<Mark>
ศาล	ศิลปศาสตร์
อิลอนมัส	อีลอนมัสก์
ปพ	ปพ.
เมาติฟังก์ชัน	มัลติฟังก์ชัน
พุ้งเฟื้อง	ฟุ้งเฟื่อง
โคจิฮากิวดะ	โคอิจิฮากิอูดะ
บ้านดู	บ้านดู่
<MARK>	()
สี่	4
บต	อบต.
สองร้อย	200
นายกรมตี	นายกรัฐมนตรี
เสีย	เสี่ย
สุมนรัฐ	สุมนรัตน์
เฉลิมพงศ์	เฉลิมพงษ์
สุคุณา	สุขุนา
คลองชมธาน	คลองชลประทาน
พง	พงศ์
ศรีบรรพฤษ	ศรีบรรพต
จู่	จู่ๆ
คุ้มหลัง	คุ้มหรั่ง
รัฐมนูล	รัฐธรรมนูญ
ประจีนบุรี	ปราจีนบุรี
มะลิวัน	มะลิวัลย์
สปพ	สปพ.
สบค	ศบค.
หนองหายใต้	หนองไฮใต้
ไตรตรึง	ไตรตรึงษ์
