filename	text
7-7454-44.wav	นายรัฐพลสุวรรณรัฐหรือบิ๊กกุมารขาวอายุ35ปีคนนี้คนยิง
21-21001-10.wav	แล้วก็ทางด้านของฝ่ายปกครองกว่า200นาย
21-21001-20.wav	สำหรับผลการปฏิบัติการโดยรวมทั้งจังหวัด
21-21001-8.wav	ว่าราชการจังหวัดสมุทรปราการร่วมกันกับพันธุ์ตำรวจเอก
21-21003-8.wav	เหตุการณ์นี้เกิดขึ้นที่จังหวัดบึงกาฬนะคะ
21-21004-15.wav	แต่ว่าตำรวจนายนี้ไม่ประสงค์จะไปโรงพยาบาล
21-21004-18.wav	อยู่ในที่เกิดเหตุด้วยนายชาญเจริญยิ่งเจ้าของรถกระบะเนี่ย
21-21004-27.wav	เอาละครับกับทางรองผู้กำกับการสอบสวนท่านนั้นนายนั้นนะ
21-21004-4.wav	ตัวเมืองจังหวัดสุรินทร์ในที่เกิดเหตุพบรถกระบะของนายชาญเจริญยิ่ง
21-21006-4.wav	เหตุการณ์ที่นายมงคลคุณเพียรอายุ24ปีพลเมืองดีที่ไปช่วยรถกระบะตกไหลทางนะครับ
21-21006-7.wav	วันนี้ครอบครัวนะครับไปกับเพื่อนร่วมงานนะฮะนิมนต์พระไปประกอบพิธีเชิญดวงวิญญาณนายมงคลตรงจุดเกิดเหตุ
21-21009-1.wav	คุณยายวัย97ปีเรียกว่าคุณทวดก็คงได้ที่จังหวัดบุรีรัมย์
21-21009-7.wav	ลักษณะที่เกิดเหตุเป็นบ้านไม้ชั้นเดียวในตำบลหนองไม้งามอำเภอบ้านกรวดจังหวัดบุรีรัมย์นะคะ
21-21010-14.wav	มารักษาตัวที่บ้านเกิดในจังหวัดระยอง
21-21011-12.wav	ก่อนที่จะไปเดินทางแสดงเชิดสิงโตถวาย
21-21012-44.wav	ส่วนตอนล่างบริเวณจังหวัดพัทลุงสงขลาปัตตานี
21-21013-32.wav	ตอนนี้ก็ประสบปัญหาน้ำท่วมหลายจังหวัดอยู่เหมือนกันครับ
21-21017-42.wav	อายุ46ปีแล้วผู้หญิงคนนี้เป็นชาวจังหวัดนครปฐม
21-21018-26.wav	ครอบคลุมทุกจังหวัดทั่วประเทศ
21-21019-0.wav	คุณผู้ชมคะมีเหตุการณ์ระทึกเกิดขึ้นที่จังหวัดอ่างทองนะคะ
21-21021-1.wav	ก็ยังเดินทางมอบเงินช่วยเหลือให้กับชาวบ้านต่อ
21-21021-29.wav	แล้วก็เล่าถึงการเดินทางไปร่วมรับโทรศัพท์
21-21022-26.wav	แต่คราวนี้เดินทางมาพิษณุโลกแล้วก็เข้าเขตจังหวัดแพร่
21-21022-7.wav	ภูมิลำเนาเธออยู่ที่จังหวัดลำปางนะหลังคลอดลูกบนรถกระบะ
