filename	text
7-7454-44.wav	นายรัฐพลสุวรรณรัฐหรือบิ๊กกุมารขาวอายุ35ปีคนนี้คนยิง
7-7000-57.wav	ตอนนั้นผมอยู่ที่จังหวัดน่านพ่อของคุณกติกเนี่ยก็คือคุณเกียรติศักดิ์โทรไปหาผม
7-7001-5.wav	หน้าศาลปู่ตาอำเภอศรีณรงค์จังหวัดสุรินทร์
7-7002-15.wav	วันนี้ออกคำสั่งคณะกรรมการโรคติดต่อจังหวัดชลบุรี
7-7002-21.wav	คือที่บางละมุงของจังหวัดชลบุรีที่บางละมุงชลบุรีเนี่ยนะครับ
7-7002-27.wav	โดยเฉพาะที่บริการ24ชั่วโมงจังหวัดชลบุรีนะครับ
7-7002-33.wav	ในพื้นที่บางละมุงจังหวัดชลบุรีแล้วก็ยังกำหนดแบ่งโซนพื้นที่ต่างๆ
7-7002-34.wav	ของจังหวัดชลบุรีเป็นอย่างนี้นะครับพื้นที่ควบคุมสูงสุดก็คือสีแดง
7-7002-4.wav	ว่าติดมาจากแหล่งไหนนี่คือตัวเลขผู้ติดโควิด-19ในพื้นที่จังหวัดชลบุรีนะครับ
7-7002-6.wav	ยังมีรอผลยืนยันอีกคนนึงด้วยนะครับทางสำนักงานสาธารณสุขจังหวัดชลบุรีนะครับ
7-7002-8.wav	ซึ่งมีความเชื่อมโยงติดเชื้อมาจากจังหวัดข้างเคียงเป็นแรงงานต่างด้าว30ราย
7-7002-9.wav	ที่รับการแพร่เชื้อจากผู้ที่ติดเชื้อจากจังหวัดระยองค่ะ
7-7003-1.wav	บอกเลยว่าวัดนี้วัดเด่นวัดดังที่จังหวัดนครปฐม
7-7003-42.wav	ก่อนเดินทางกับพี่ปราโมทย์
7-7004-13.wav	สามีภรรยาคู่นี้อยู่ที่จังหวัดเชียงรายนะครับท่านผู้ชมครับ
7-7013-0.wav	คุณผู้ชมมาที่จังหวัดเพชรบุรีนะคะเหตุการณ์เนี่ยค่อนข้างซับซ้อนนิดหนึ่ง
7-7013-3.wav	วันเกิดเหตุตัดสินใจค่ะเดินทางมาเคลียร์กับหนุ่มโลตัส
7-7015-23.wav	เสนอชื่อนายเศรษฐาทวีสิน
7-7015-25.wav	ดำรงตำแหน่งนายกรัฐมนตรี
7-7015-26.wav	ทั้งนี้พรรคเพื่อไทยและนายเศรษฐาทวีสิน
7-7015-9.wav	เป็นแคนดิเดตนายกรัฐมนตรีนะครับเพื่อจะโหวตนายกต่อไปแล้วก็จะกำหนดให้การแก้ไข
7-7016-26.wav	คือทีมข่าวก็เดินทางไปคุยขยายความกันต่อ
7-7018-12.wav	คือชาวบ้านประชาชนในพื้นที่อำเภอแก้งคร้อจังหวัดชัยภูมินะครับ
7-7018-15.wav	ในเขตอำเภอแก้งคร้อจังหวัดชัยภูมิ
7-7019-1.wav	นั่นก็คืออำเภอเมืองจังหวัดนครปฐมค่ะ
7-7023-71.wav	การจับงูถ้าเกิดว่ามีงูที่จังหวัดอ่างทองเราจะเห็นเขาไปจับทุกที่เลย
7-7028-27.wav	รองนายกรัฐมนตรีก็พูดเช่นเดียวกันนะครับ
7-7028-42.wav	ปฏิบัติการค้นหาที่จังหวัดเชียงรายครั้งนี้
7-7030-21.wav	กำลังจะเดินทางมายังที่เกิดเหตุค่ะ
7-7033-16.wav	ก็ได้มีการเดินทางไปเยี่ยมถึงโรงพยาบาลถึงแม้ว่าจะไม่ได้เจอเจ้าตัวค่ะ
7-7036-11.wav	จังหวัดสุพรรณบุรีเย็นเมื่อวานนะครับ
7-7036-3.wav	ถูกต้องครับชายอายุ77ปีเดินทางมาหาเพื่อน
7-7037-261.wav	ตัวเลือกที่3นางเงือก
7-7037-262.wav	ตัวเลือกที่4นางละเวง
7-7037-271.wav	คุณผู้ชมครับมาเอาใจช่วยครอบครัวของพี่ฝนจากจังหวัดพิจิตรกันนะครับ
7-7037-3.wav	ครอบครัวของแม่ฝนจากจังหวัดพิจิตรจะต้องร่วมแรงร่วมใจกันตอบคำถาม
7-7038-23.wav	ไปให้ที่สำนักหนึ่งค่ะเป็นสำนักที่อยู่ในจังหวัดนครราชสีมา
7-7039-0.wav	คุณผู้ชมดูเหตุการณ์นี้หน่อยนะคะเกิดขึ้นที่จังหวัดพัทลุง
7-7039-10.wav	ตำบลท่าแคอำเภอเมืองจังหวัดพัทลุงค่ะ
7-7040-11.wav	โดยก่อนหน้านี้นายกรัฐมนตรียังได้เดินทางไปเยี่ยมกำลังพลที่
7-7040-12.wav	อภัยครับได้เดินทางไปเยี่ยมกำลังพลเรือหลวงสุโขทัยที่ได้รับบาดเจ็บและรักษาตัวอยู่ที่โรงพยาบาลสิริกิติ์และในเวลาต่อมาได้เข้าตรวจเยี่ยมศูนย์ประสานงานช่วยเหลือกำลังพลเรือหลวงสุโขทัยภายในสโมสรสัญญาบัตรกองเรือยุทธการ
7-7040-17.wav	รายงานสดจากฌาปนสถานกองทัพเรือสัตหีบจังหวัดชลบุรีครับ
7-7040-1.wav	ได้เดินทางไปร่วมพิธีพระราชทานน้ำหลวงอาบศพให้กับกำลังพล6นายที่เสียชีวิต
7-7040-4.wav	หลังจากที่ได้มีการให้ญาติของกำลังพลทั้ง6นายเข้าพิธีรดน้ำศพตามพิธีการปกติเสร็จสิ้น
7-7040-8.wav	เพื่อบรรจุร่างของกำลังพลทั้ง6นายที่เสียชีวิต
7-7041-9.wav	ภายในพื้นที่การไฟฟ้าแม่เมาะที่อำเภอแม่เมาะจังหวัดลำปาง
7-7046-10.wav	ไล่ยิงกันมาตามถนนสายจอมพระศีขรภูมิจังหวัดสุรินทร์
7-7048-0.wav	ทีนี้ถ้าเกิดว่าใครเจอพฤติกรรมแบบนี้นะคะตอนที่ไปไหว้พระธาตุพนมที่จังหวัดนครพนม
7-7050-120.wav	ไม่ใช่แค่จังหวัดสุพรรณบุรี
7-7050-49.wav	เพราะว่าทางกรมศิลปากรบอกว่าตอนนี้คือไม่ใช่แค่จังหวัดสุพรรณบุรีนะ
7-7051-11.wav	นี่คือที่ตำบลนครชุมอำเภอนครไทยจังหวัดพิษณุโลกครับ
7-7051-24.wav	เหมาะสำหรับไปท่องเที่ยวสัมผัสกับธรรมชาติที่หาดูได้ยาก
7-7051-28.wav	จากพิษณุโลกไปที่จังหวัดเชียงใหม่กันบ้างนะครับ
7-7055-24.wav	ที่เดินทางมากราบไหว้ขอพรกันเป็นจำนวนมากค่ะ
7-7055-28.wav	แต่ประชาชนที่เดินทางมาไหว้พระขอพรที่นี่ส่วนใหญ่ยังคงใส่ชุดขาวและดำ
7-7058-0.wav	พาคุณผู้ชมไปดูเหตุสลดที่เกิดขึ้นที่จังหวัดขอนแก่นกันหน่อยนะ
7-7058-22.wav	ตำบลคำแคนอำเภอมัญจาคีรีจังหวัดขอนแก่น
7-7058-39.wav	ส่วนนายโหน่งเนี่ยก็เป็นคนคุ้นเคยกันแล้วก็เป็นญาติกันด้วย
7-7058-55.wav	คุณแม่ของผู้ต้องหาบอกด้วยนะคะว่าก่อนหน้านี้นายโหน่งเนี่ย
7-7058-60.wav	วันเกิดเหตุนายโหน่งก็ไปดื่มเครื่องดื่มชูกำลังไปกว่า20ขวด
7-7061-30.wav	นัดจ่ายเงินเคลียร์กันในจังหวัดเชียงราย28ล้าน
